2020-10-14 20:23:45,553 INFO     Experiment started
2020-10-14 20:23:45,553 INFO     Namespace(batch_size=1024, epochs=1, lr=0.01)
2020-10-14 20:23:59,178 INFO     Accuracy : 0.13633496267360232
2020-10-14 20:24:00,114 INFO                   precision    recall  f1-score   support

           0       0.05      0.10      0.06     12145
           1       0.00      0.00      0.00     22047
           2       0.19      0.57      0.28     55394
           3       0.10      0.01      0.02     23919
           4       0.11      0.02      0.03     31125
           5       0.21      0.00      0.00     49082
           6       0.04      0.15      0.07     13254
           7       0.11      0.08      0.09     32687
           8       0.09      0.07      0.08     28652
           9       0.08      0.01      0.01     28134

    accuracy                           0.14    296439
   macro avg       0.10      0.10      0.07    296439
weighted avg       0.12      0.14      0.08    296439

